Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
21K0325,431729,434575,1,19-Jan-15,1730,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,24,Car
21K0332,424460,433646,2,19-Jan-15,1845,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,41,Car
21K0584,423036,437648,2,20-Jan-15,1600,A,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
21K0903,429432,437313,1,20-Jan-15,1610,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,12,Car
21K0978,437531,431994,1,20-Jan-15,1645,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,21,Car
21K1112,431496,433971,2,20-Jan-15,1755,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,64,Car
21K1112,431496,433971,2,20-Jan-15,1755,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,42,Car
21K1129,440390,433068,2,20-Jan-15,1804,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,41,Car
21L0199,433502,429763,2,21-Jan-15,807,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,50,Car
21L0205,443586,435736,1,21-Jan-15,815,A(M),Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,28,Car
21L1572,430033,431012,1,21-Jan-15,2005,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,45,Car
21M0295,427437,439298,1,21-Jan-15,830,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,36,Car
21M0295,427437,439298,1,21-Jan-15,830,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,8,Car
21M1029,430429,433884,2,22-Jan-15,1410,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,30,Bus or coach (17 or more passenger seats)
1.30E+38,429969,434187,2,14-Mar-15,22,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,39,Car
19C0493,445949,431172,2,09-Jan-15,1855,B,Wet / Damp,Darkness: no street lighting,Fine with high winds,Driver/Rider,Slight,Male,24,Car
19C0493,445949,431172,2,09-Jan-15,1855,B,Wet / Damp,Darkness: no street lighting,Fine with high winds,Passenger,Slight,Female,20,Car
2110145,430902,432293,2,01-Jan-15,35,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2110145,430902,432293,2,01-Jan-15,35,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,45,Taxi/Private hire car
2110145,430902,432293,2,01-Jan-15,35,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,23,Taxi/Private hire car
2111055,431254,445733,2,01-Jan-15,1045,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,60,Car
2111114,435245,428899,2,01-Jan-15,1130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,48,Taxi/Private hire car
2111672,428479,433311,1,01-Jan-15,1750,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Serious,Male,67,Car
2120569,425692,426859,1,02-Jan-15,1254,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,73,Goods vehicle 7.5 tonnes mgw and over
2120802,430096,437925,3,02-Jan-15,1510,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,79,Car
2121559,431729,434573,1,02-Jan-15,2239,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,23,Car
2130207,430334,433342,1,03-Jan-15,410,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,31,Taxi/Private hire car
2130447,431483,435012,2,03-Jan-15,1130,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,80,Car
2130502,431002,430603,2,03-Jan-15,1210,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,46,Car
2130549,431618,436143,2,03-Jan-15,1250,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2130549,431618,436143,2,03-Jan-15,1250,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,43,Car
2130549,431618,436143,2,03-Jan-15,1250,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Car
2130549,431618,436143,2,03-Jan-15,1250,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,63,Car
2140617,427393,433660,1,04-Jan-15,1221,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,35,Car
2140799,433530,436008,2,04-Jan-15,1438,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
2141182,431248,433688,2,04-Jan-15,1850,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
2141182,431248,433688,2,04-Jan-15,1850,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Car
2150173,430157,432022,3,05-Jan-15,745,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car
2150343,435555,434799,2,05-Jan-15,955,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,63,Pedal cycle
2150861,429827,438866,1,05-Jan-15,1530,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,15,Car
2150935,427750,426259,2,05-Jan-15,1610,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Fatal,Male,47,Pedal cycle
2151027,428705,433170,2,05-Jan-15,1714,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
2151182,429913,428087,1,05-Jan-15,1630,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,19,Car
2160649,445389,446783,1,06-Jan-15,1420,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,68,Motorcycle over 500cc
2160771,436560,435996,3,06-Jan-15,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,72,Car
2160936,429174,431862,2,06-Jan-15,1759,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,38,Car
2161029,429491,432913,2,06-Jan-15,1740,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,27,Motorcycle over 50cc and up to 125cc
2161502,422652,440059,1,06-Jan-15,2347,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,43,Car
2161502,422652,440059,1,06-Jan-15,2347,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,22,Car
2171061,432832,435205,1,07-Jan-15,1739,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,45,Car
2180398,429361,439562,1,07-Jan-15,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,22,Car
2180457,426536,427737,1,08-Jan-15,1115,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,63,Car
2180711,426456,427823,1,08-Jan-15,1416,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,89,Car
2180987,430019,435534,2,08-Jan-15,1659,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,22,Motorcycle over 50cc and up to 125cc
2181029,436361,428354,2,08-Jan-15,1715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2190196,430795,434511,2,09-Jan-15,655,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,48,Goods vehicle 3.5 tonnes mgw and under
2190220,427316,433304,1,09-Jan-15,737,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,58,Car
2190482,432523,434725,1,09-Jan-15,1110,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,40,Car
2190879,431313,431725,2,09-Jan-15,1524,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,23,Car
2190930,435093,434736,2,09-Jan-15,1539,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
2191437,432225,440327,2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2191437,432225,440327,2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
2191437,432225,440327,2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
2191437,432225,440327,2,09-Jan-15,2010,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2191539,435093,434736,2,09-Jan-15,1539,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
21A0339,428076,434307,1,10-Jan-15,820,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Pedestrian,Fatal,Male,61,Goods vehicle 3.5 tonnes mgw and under
21A0461,431207,426172,2,10-Jan-15,1011,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,18,M/cycle 50cc and under
21A0598,427691,434484,1,10-Jan-15,1130,A,Dry,Daylight: street lights present,Fine with high winds,Pedestrian,Slight,Female,30,Car
21A0948,431560,435565,1,09-Jan-15,1800,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Male,34,Car
21A0981,429617,430944,2,10-Jan-15,1541,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
21A0981,429617,430944,2,10-Jan-15,1541,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
21A1007,431648,437772,1,10-Jan-15,1558,Unclassified,Dry,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Slight,Female,83,Car
21A1016,428587,427737,2,10-Jan-15,1605,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,67,Car
21A1483,429305,435031,2,10-Jan-15,2154,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,54,Car
21A1483,429305,435031,2,10-Jan-15,2154,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,21,Car
21B1069,437065,436141,1,11-Jan-15,1817,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,29,Car
21C0035,428981,433532,2,11-Jan-15,1830,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Driver/Rider,Slight,Male,27,Car
21C0035,428981,433532,2,11-Jan-15,1830,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Female,26,Car
21C0228,438495,430408,1,12-Jan-15,745,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
21C0347,436516,428540,2,12-Jan-15,930,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Car
21C0369,422964,437587,3,12-Jan-15,944,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,46,Car
21C0387,431966,435835,2,13-Jan-15,915,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,54,Car
21C0757,428841,433989,2,12-Jan-15,1354,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,57,Pedal cycle
21C0854,430625,424777,2,12-Jan-15,1500,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Car
21C1138,423924,434308,2,12-Jan-15,1740,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
21D0227,432292,444272,3,13-Jan-15,828,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
21D0302,426568,431849,1,13-Jan-15,925,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
21D0463,425108,438001,1,13-Jan-15,1120,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,25,Car
21D0796,435043,436940,1,13-Jan-15,1525,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,17,Motorcycle over 50cc and up to 125cc
21D0963,435431,439805,2,13-Jan-15,1655,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,5,Car
21D0963,435431,439805,2,13-Jan-15,1655,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,32,Car
21D0963,435431,439805,2,13-Jan-15,1655,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Female,53,Car
21D1076,425639,426885,2,13-Jan-15,1800,A,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,36,Car
21D1076,425639,426885,2,13-Jan-15,1800,A,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,32,Car
21D1303,431698,433636,2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,3,Car
21D1303,431698,433636,2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,9,Car
21D1303,431698,433636,2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,11,Car
21D1303,431698,433636,2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,33,Car
21D1303,431698,433636,2,13-Jan-15,2021,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,62,Car
21D1551,430909,436134,1,13-Jan-15,2320,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,48,Motorcycle over 50cc and up to 125cc
2.10E+207,428042,427809,2,14-Jan-15,844,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,62,Car
2.10E+207,428042,427809,2,14-Jan-15,844,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,61,Car
21E0386,428607,431051,2,14-Jan-15,1114,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,19,Car
21E0578,426068,427720,2,14-Jan-15,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,63,Goods vehicle 3.5 tonnes mgw and under
21E0578,426068,427720,2,14-Jan-15,1328,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Bus or coach (17 or more passenger seats)
21E0628,421621,440880,5,14-Jan-15,1349,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,86,Car
21E0849,429118,432170,2,14-Jan-15,1555,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car
21E1020,429064,433051,1,14-Jan-15,1640,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,41,Car
21E1208,432878,425976,2,14-Jan-15,1925,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,24,Car
21E1208,432878,425976,2,14-Jan-15,1925,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,38,Car
21E1447,431079,430776,1,14-Jan-15,2025,Unclassified,Dry,Darkness: no street lighting,Fine with high winds,Pedestrian,Slight,Male,47,Taxi/Private hire car
21F0077,429304,433709,1,15-Jan-15,242,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,18,Goods vehicle 7.5 tonnes mgw and over
21F0211,425093,431059,2,15-Jan-15,829,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,32,Car
21F0211,425093,431059,2,15-Jan-15,829,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
21F0884,429759,434503,2,15-Jan-15,1600,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
21F1076,420311,439697,2,15-Jan-15,1730,A,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Passenger,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
21G0168,429941,427092,2,16-Jan-15,717,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,15,Car
21G0202,437380,425668,6,16-Jan-15,810,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,46,Car
21G0202,437380,425668,6,16-Jan-15,810,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
21G0539,427798,426248,5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,20,Car
21G0539,427798,426248,5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,23,Car
21G0539,427798,426248,5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
21M1525,434410,434387,2,23-Jan-15,2044,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
21N0096,430489,424250,2,23-Jan-15,254,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,32,Car
21N0096,430489,424250,2,23-Jan-15,254,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,28,Other Vehicle 
21N0194,430098,435394,2,23-Jan-15,729,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,52,Car
21N0194,430098,435394,2,23-Jan-15,729,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,68,Car
21N0302,425190,427268,2,24-Jan-15,900,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,22,Car
21N0922,431083,434212,2,23-Jan-15,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Pedal cycle
21O0494,426296,427802,1,24-Jan-15,1018,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,79,Car
21O0590,434769,434613,1,24-Jan-15,1130,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,82,Car
21O0635,433464,434043,2,24-Jan-15,1204,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats)
21O0668,432440,438770,2,24-Jan-15,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,38,Car
21O0668,432440,438770,2,24-Jan-15,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
21O0726,426724,433859,2,24-Jan-15,1320,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
21O0726,426724,433859,2,24-Jan-15,1320,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
21O1487,428096,434518,2,24-Jan-15,2115,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
21O1487,428096,434518,2,24-Jan-15,2115,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
21O1665,430113,433381,1,24-Jan-15,15,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,32,Taxi/Private hire car
21O1689,428561,433228,2,24-Jan-15,2315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,57,Car
21P0582,442985,431666,2,25-Jan-15,1145,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car
21P0582,442985,431666,2,25-Jan-15,1145,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
21P0582,442985,431666,2,25-Jan-15,1145,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
21P1235,429470,435412,1,23-Jan-15,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,37,Car
21Q0276,421555,435968,2,26-Jan-15,820,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Car
21Q1239,425863,428018,4,26-Jan-15,1754,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,29,Car
21Q1239,425863,428018,4,26-Jan-15,1754,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,49,Car
21Q1286,429282,433483,1,27-Jan-15,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,82,Bus or coach (17 or more passenger seats)
21R0204,427721,434467,2,27-Jan-15,829,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Pedal cycle
21R0405,429188,431919,2,26-Jan-15,1205,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,59,Car
21R0405,429188,431919,2,26-Jan-15,1205,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,37,Car
21R0405,429188,431919,2,26-Jan-15,1205,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Car
21R0538,424083,435506,3,27-Jan-15,1148,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,28,Car
21R0538,424083,435506,3,27-Jan-15,1148,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,2,Car
21R0702,430064,434407,2,27-Jan-15,1317,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
21R0747,429953,433341,1,23-Jan-15,2350,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,Taxi/Private hire car
21R0973,434925,435580,2,27-Jan-15,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,44,Motorcycle over 500cc
21R1099,430367,438562,2,27-Jan-15,1640,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,35,Pedal cycle
21S0284,427263,435169,2,28-Jan-15,900,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,51,Motorcycle over 500cc
21S0562,429568,431581,1,28-Jan-15,1219,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Male,60,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
21S0621,429257,435103,2,28-Jan-15,1250,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,23,Car
21S1079,425664,435073,2,28-Jan-15,1638,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,13,Car
21S1079,425664,435073,2,28-Jan-15,1638,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Female,45,Car
21S1315,431198,431471,1,28-Jan-15,1833,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,52,Car
21S1315,431198,431471,1,28-Jan-15,1833,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Pedestrian,Slight,Male,28,Car
21S1315,431198,431471,1,28-Jan-15,1833,Unclassified,Snow,Darkness: street lights present and lit,Snowing with high winds,Driver/Rider,Slight,Male,70,Car
21S1721,431830,430451,1,28-Jan-15,2300,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,22,Car
21S1733,432355,439006,2,28-Jan-15,2320,Unclassified,Wet / Damp,Darkness: street lights present and lit,Snowing with high winds,Passenger,Slight,Male,22,Car
21T0198,429972,435408,3,29-Jan-15,748,Unclassified,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
21T0327,440153,436591,1,29-Jan-15,915,Unclassified,Snow,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,53,Car
