Year,Month,Temperature,Gangwondo,Seoul,Gyeonggido,Incheon,Gyeongsangnamdo,Gyeongsangbukdo,Gwangju,Daegu,Daejeon,Busan,Sejong,Ulsan,Jeollanamdo,Jeollabukdo,Jeju,Chungcheongnamdo,Chungcheongbukdo,Sum
2008,6,21.26,9963,207544,194680,80612,50042,56047,28064,44538,22633,61925,0,109968,29317,31604,286,54674,23148,1005045
2008,7,25.69,7902,176388,175805,72212,47470,53361,26309,43362,23904,64891,0,117444,29613,30491,249,53508,22709,945618
2008,8,25.32,7958,160502,162922,69483,40295,52809,22922,38445,21094,58397,0,126757,28075,27846,306,48598,21458,887867
2008,9,22.27,7932,161664,176131,69518,41799,56444,22046,37906,21717,60108,0,135819,28105,30821,225,52310,22060,924605
2008,10,16.61,11243,202281,235018,79590,47804,67658,25108,42476,30888,68743,0,150854,31747,37917,206,66293,28488,1126314
2008,11,8.3,19081,407992,404996,113531,59933,84191,38386,51668,58325,97666,0,110408,32334,51738,365,84438,41867,1656919
2008,12,2.11,29017,653645,579409,165183,85282,112776,57409,88983,83326,141608,0,124291,35735,68091,718,93608,53001,2372082
2009,1,-0.95,36207,820626,654319,201053,99668,124460,70967,111989,94929,165080,0,135859,41729,74089,930,103416,60112,2795433
2009,2,4,31574,696121,526339,175222,97399,104275,65830,113203,68225,121289,0,138701,34133,61507,666,94059,47496,2376039
2009,3,6.87,27149,576881,484151,156428,83781,102514,57926,89444,67938,124582,0,145850,36703,59964,710,87054,46408,2147483
2009,4,13.19,20597,416698,355844,128036,71710,84126,47904,81234,41026,90679,0,111750,29501,48028,571,72117,34621,1634442
2009,5,19.17,14426,262007,247458,91912,56286,69199,34863,55651,26817,69049,0,78844,23704,35328,385,58443,26844,1151216
2009,6,22.45,10728,192472,186133,72163,48705,65951,26969,43922,24253,65401,0,77178,22631,31513,414,55034,25844,949311
2009,7,24.12,9798,180838,189932,68849,47380,66184,22290,40699,25697,64788,0,83654,26725,31334,607,54980,26995,940750
2009,8,25.53,9320,174006,179518,68331,43571,63407,24638,38348,24873,61623,0,91545,22542,29287,621,50745,25249,907624
2009,9,22.03,9282,160670,186644,69821,45845,64312,23007,40756,24156,62182,0,96687,27021,35163,432,62413,27380,935771
2009,10,16.48,12263,206368,238411,76152,46774,74697,23900,39777,36041,70062,0,95913,25580,39077,393,70447,31490,1087345
2009,11,7.76,20760,425392,405589,121753,64569,98403,39622,59634,62157,109490,0,130682,34590,59711,735,97981,45439,1776507
2009,12,0.29,32399,708011,636701,192254,94741,127250,74447,91561,92212,156641,0,174200,50018,80836,1178,127049,64419,2703917
2010,1,-2.88,42634,905732,738025,224622,115062,150557,85311,126076,104838,179086,0,208943,55869,91374,1277,150098,76881,3256385
2010,2,2.32,36126,753012,610984,195088,106227,124237,64256,122397,74522,139496,0,189430,45638,75053,1011,122722,57384,2717583
2010,3,5.25,31185,603450,500288,161128,101967,128170,63205,106044,74573,143581,0,188431,48303,73523,876,118461,58705,2401890
2010,4,10.06,24563,482800,439879,145406,88237,109090,49294,98709,52510,114671,0,158440,40528,62172,700,104033,48017,2019049
2010,5,17.53,16210,301895,298335,108766,71382,86966,32024,71963,31200,79649,0,127245,32410,47875,436,83359,35268,1424983
2010,6,23.34,11806,201873,206875,76535,57597,75306,27036,51739,26185,70646,0,124526,28121,41066,383,73179,29741,1102614
2010,7,25.82,10814,177880,196387,70246,52079,69993,27494,45013,27274,68554,0,112857,28956,39954,596,71429,29039,1028565
2010,8,27.04,10476,172448,188842,68833,46736,70402,25214,42026,26496,65293,0,106078,27650,36276,603,62908,27974,978255
2010,9,22.38,10093,160852,191773,69354,44039,75023,25361,40138,27640,62398,0,103382,26040,36839,446,67190,29743,970311
2010,10,15.11,14333,236633,276305,87483,52247,89720,34562,43420,41214,77985,0,123986,31153,46965,426,85850,40710,1282992
2010,11,7.35,22781,442243,440497,129757,71019,110448,50413,61386,64219,113800,0,177906,41918,65956,692,111267,54391,1958693
2010,12,0.05,34518,694291,657112,190437,100625,141948,80998,93971,91736,160555,0,209526,51305,83796,1258,144743,75637,2812456
2011,1,-5.74,47123,928709,800313,233451,128711,173107,96670,130441,120524,200683,0,262746,60532,105055,1662,158359,93067,3541153
2011,2,2.18,40016,747800,594776,203072,113037,134139,67104,131182,75846,144076,0,212934,47901,84985,1275,128980,65330,2792453
2011,3,4.56,32380,611849,550237,170647,111930,142388,69596,119459,78309,145929,0,216982,48216,81649,1165,124944,68568,2574248
2011,4,11.42,24195,434383,415812,140579,89981,112429,46528,99321,53823,103964,0,204320,38939,63624,776,103267,50443,1982384
2011,5,18,17126,264979,287682,105088,70097,97074,33266,70045,38709,83354,0,175303,32707,52395,542,89520,42384,1460271
2011,6,22.26,12653,198037,231298,83313,59792,85819,27185,55822,30867,74142,0,165774,29433,44763,545,74595,37160,1211198
2011,7,25.09,12582,190898,224406,76184,55507,82062,26887,50864,32849,70169,0,160398,29894,43339,721,71093,38072,1165925
2011,8,25.84,11899,178319,216578,73544,51097,78442,25430,46054,31201,64615,0,147170,27700,42023,747,66087,35691,1096597
2011,9,22.12,11599,157947,207083,72299,49507,78801,26714,45890,31020,66426,0,161366,25385,43254,592,69234,37168,1084285
2011,10,14.73,16280,227152,303154,90064,57525,97105,36243,49613,46031,81153,0,191261,33099,55777,546,91360,48369,1424732
2011,11,11.36,21521,347194,402780,109145,71783,109101,44215,64437,56485,99190,0,219141,37562,62670,731,108805,53543,1808303
2011,12,0.29,35317,639756,645520,171694,95814,144802,78625,91544,98455,164255,0,265100,54181,88899,1451,152185,81516,2809114
2012,1,-1.55,44479,802350,763669,214146,120835,159092,85824,130060,116389,178441,0,270006,57098,101691,1573,160556,87616,3293825
2012,2,-0.93,42131,787565,711495,198234,126191,157314,80087,135280,107664,173008,0,267942,58251,96421,1594,163715,83915,3190807
2012,3,5.86,34754,598720,588434,173944,116782,150698,68239,122833,86729,144653,0,246244,55178,83988,1291,145171,71216,2688874
2012,4,12.93,25534,416297,408697,138957,93434,123783,44227,98983,57980,103329,0,196637,43905,66345,786,120475,53799,1993168
2012,5,19.66,16583,249110,264664,96550,71683,106270,32357,66907,38090,83927,0,190155,35251,50390,577,95838,44377,1442729
2012,6,23.58,13195,179056,224059,78591,61657,95838,26955,53681,34628,74280,0,183417,31965,44432,557,88155,40623,1231089
2012,7,25.77,12397,172678,226875,79402,58880,92196,28007,48485,34140,75623,0,214146,29267,45824,660,86051,41390,1246021
2012,8,27.26,12265,166074,215757,76094,53828,86203,25113,47203,32675,68263,0,218024,30265,44072,770,80702,38551,1195859
2012,9,21.21,11994,159054,228051,77963,51462,86297,28614,47008,31699,71611,0,225526,30823,45737,595,81941,40576,1218951
2012,10,15.59,16150,206878,307689,92137,59874,99313,37894,46836,44028,83074,0,275652,34516,57270,618,100769,51051,1513749
2012,11,6.44,26492,435852,503008,136687,78652,128664,56994,66297,77035,122244,0,298701,48539,75003,1092,135440,71078,2261778
2012,12,-2.62,42544,758147,772003,207142,111895,165657,84965,102559,121801,181273,0,352116,63414,101800,1565,182497,96861,3346239
2013,1,-2.16,50361,859992,821469,241088,138454,179607,88714,141067,123727,191681,10229,351014,69140,109876,1720,196450,97327,3671916
2013,2,0.15,43518,726761,652787,198397,124869,146931,73850,135172,94242,152480,8529,328057,59317,93427,1505,171482,78476,3089800
2013,3,6.43,33887,561111,556162,173043,113786,141697,63818,117930,76464,129635,7668,305735,55683,82345,1168,157717,72861,2650710
2013,4,10.66,27462,432767,450269,142623,95553,124850,49980,91649,66768,114522,7188,279040,52408,74975,922,146806,61158,2218940
2013,5,18.52,19899,264656,320129,106330,81921,107403,34267,78203,44186,88226,5247,216418,40533,55509,643,128468,48629,1640667
2013,6,23.94,14350,177247,240791,79312,65951,96017,28957,57502,33852,72521,4650,202079,39164,47296,620,109835,41878,1312022
2013,7,26.11,13333,169428,238256,74557,60638,90973,28656,49793,33298,73739,4217,219523,39200,48620,718,106313,41209,1292471
2013,8,27.91,12589,169099,240402,73926,55092,84565,26229,46580,32716,64914,3997,194442,35816,43839,763,99485,38371,1222825
2013,9,22.18,11910,142034,221272,78128,51468,83667,27119,44953,28683,63963,3962,200552,34855,45705,580,96042,37521,1172414
2013,10,16.34,15614,186230,312646,88547,64087,101158,36144,45505,41176,81580,4868,238703,43158,56255,641,114582,49207,1480101
2013,11,7.15,25678,407977,491759,129152,82706,126430,55877,63840,72092,117201,6508,273355,55149,77100,1106,152085,66814,2204829
2013,12,1.14,39272,633820,671109,184755,116825,156398,76752,98281,103335,167574,7822,292135,70536,99163,1703,180745,85325,2985550
2014,1,0.54,44996,718120,710319,203670,127549,165174,82031,127642,98534,175047,8080,299474,71917,102352,1906,187985,88449,3213245
2014,2,2.85,40500,644586,591477,182133,122613,142387,66673,127579,82128,150507,7431,268717,60821,94134,1622,168628,74050,2825986
2014,3,8.42,33860,485186,508507,153461,114280,140772,63957,113343,70584,143724,6984,262840,59086,84901,1494,159423,69638,2472040
2014,4,14.3,24335,313919,366954,122907,92739,116741,42747,93453,42695,101976,5184,210629,45548,65263,1018,115571,51272,1812951
2014,5,19.16,17757,217833,285990,97893,74325,98957,35564,66841,35423,84307,4557,204356,41372,55999,772,106000,46136,1474082
2014,6,22.85,14221,163909,237910,85215,63435,87479,28092,54532,30518,71273,3983,199817,36221,50207,716,97467,40045,1265040
2014,7,25.9,13001,163172,235321,89126,63052,89087,31189,50003,32070,74293,4317,207207,37433,50672,825,95424,42862,1279054
2014,8,24.86,12933,157410,220446,77491,54373,79823,27344,46301,28523,67698,4107,185877,35129,45419,831,86601,39834,1170140
2014,9,22.19,12557,149326,222473,74539,55458,83396,27069,44800,27547,70148,4071,171837,32453,47056,719,86693,39602,1149744
2014,10,15.98,15944,192532,289728,89021,66660,100843,34003,49402,37078,84946,4605,186261,38877,55290,772,104911,49432,1400305
2014,11,9.61,24917,368095,430224,118827,82754,117928,53959,65232,60714,109302,6374,183047,48496,73484,1174,126568,63093,1934188
2014,12,-1.34,41416,687116,697933,185645,116999,160790,87571,94334,104233,179852,9426,227257,66612,105850,2315,169644,93130,3030123
2015,1,0.34,48485,721215,721980,201372,134058,162966,79966,138481,98911,177213,8541,205417,68181,109370,2197,150979,89911,3119243
2015,2,2.05,41892,639880,586178,164543,120545,138424,70854,127917,79977,150835,8141,184462,59058,94828,2077,134360,77687,2681658
2015,3,7.2,35500,531629,549030,158984,119670,139643,64414,114680,75226,147748,10176,180948,58381,88585,1731,128831,76748,2481924
2015,4,13.57,27312,340889,389401,122507,96836,120329,43810,98482,46551,107319,6087,148666,43144,66837,1187,109006,58787,1827150
2015,5,19.28,18840,214447,278538,92939,73790,95019,33410,71953,31922,79994,4892,133048,36737,54212,843,93997,47181,1361762
2015,6,23.05,14159,171132,243880,79013,63844,87924,30980,51212,27763,74100,4720,130635,34249,48700,727,80570,41724,1185332
2015,7,25.37,13778,163786,236954,72786,61692,82536,31403,48644,28445,76227,4633,128698,35022,47117,922,78160,42897,1153700
2015,8,26.23,13349,155230,224262,73036,55011,74623,26483,45738,26311,65731,4376,120611,32019,43029,995,74956,39829,1075589
2015,9,22.1,12782,144961,223236,72631,55342,75950,28133,43159,25715,69307,4580,117583,32095,45892,865,73393,39337,1064961
2015,10,16.02,16248,184939,285803,82922,65250,91282,33841,45214,33892,84487,5037,119835,37827,57694,939,86266,47686,1279162
2015,11,9.99,24549,344623,418486,111740,77320,110962,48731,58412,55353,108315,6679,147685,48018,70198,1345,107863,59665,1799944
2015,12,3.06,37101,553480,605808,160979,104437,139724,74858,84385,86900,155706,8865,171496,62616,93745,2132,141963,81420,2565615
2016,1,-1.64,48582,716064,747043,195603,132090,164902,87343,120535,104506,192790,9402,193190,72772,109353,2865,166346,94062,3157448
2016,2,1.52,48745,683475,629848,186883,130490,149166,74309,136807,90673,172558,8629,179341,68722,101396,2549,149439,86666,2899696
2016,3,7.72,38001,508512,570929,169267,128914,140098,64217,124375,76252,148808,7951,165195,58372,90794,1997,134554,78297,2506533
2016,4,14.5,26277,308879,371281,121332,95715,112268,38927,96045,41355,103696,7904,147572,45280,64874,1324,103934,55983,1742646
2016,5,19.63,18331,210357,282460,95083,75418,93361,35547,64021,32652,85581,5643,113542,41672,55761,1065,89650,48928,1349072
2016,6,23.29,15267,174731,247825,79286,65984,83853,30622,52172,28160,75733,4920,106897,36874,45840,1010,81433,45040,1175647
2016,7,26.19,14908,177904,236697,76584,61463,83736,30846,47725,30005,73754,4888,104535,34677,45288,1154,78974,44090,1147228
2016,8,27.9,14137,163438,232126,73622,55027,78590,26752,42370,27323,66741,4551,91153,33710,42794,1154,74139,42507,1070134
2016,9,22.89,14018,141428,220105,71678,52648,78522,28054,42385,26462,70137,4291,105190,33460,42947,927,70045,41631,1043928
2016,10,16.56,17486,186829,290152,86933,64513,92082,36165,45170,35156,82216,5138,133243,39607,54238,1065,87478,49964,1307435
2016,11,7.85,29606,391774,478714,121168,84840,122024,60927,62818,67947,122259,7278,164814,55793,78644,1646,119414,70072,2039738
2016,12,2.6,43849,587147,662573,171253,116123,149385,81486,100613,93727,166731,12113,203597,67454,98495,2462,147208,85099,2789315
2017,1,-0.35,52606,694128,738070,193847,135232,169447,88857,127827,103290,188340,9370,219769,78042,108527,3031,163457,94853,3168693
2017,2,1.21,51137,688208,679661,197958,139176,159762,78192,141192,95251,176003,9335,221527,71157,103108,2755,159603,92183,3066208
2017,3,6.96,42353,512225,569022,167903,124427,148439,71957,119776,78249,156492,9311,209401,62931,91668,2414,140338,82669,2589575
2017,4,14.4,30265,328358,395028,121927,99271,115383,44729,102597,46601,108379,6288,203084,47556,67734,1458,111642,60622,1890922
2017,5,19.6,20219,203288,286693,94581,75844,101799,33398,66106,32514,82001,5493,143352,39985,52695,1053,93900,48907,1381828
2017,6,23,16744,172540,256973,77989,62493,87699,31259,51306,30593,79125,5344,110983,36738,49185,1004,82398,46976,1199349
2017,7,26.98,15776,181807,240135,73686,59081,82938,29064,46573,29559,76376,5138,101381,37037,48074,1190,80937,45278,1154030
2017,8,26.19,15682,161980,246109,73113,53477,82355,27118,41894,28185,72262,4852,98566,34129,46306,1185,76668,44115,1107996
2017,9,22.05,15611,153808,248170,73298,56498,84362,27923,44261,28173,75554,6029,139870,35142,47050,896,77641,46330,1160616
2017,10,16.57,20034,187466,285688,78338,56810,91096,33802,39268,34967,82870,5202,164677,38579,55746,1137,82283,48903,1306866
2017,11,6.79,31738,417030,523656,126656,84543,126723,64692,64221,70919,125300,8002,210905,59640,83215,1918,135842,73192,2208192
2017,12,-0.55,51720,731282,791139,205978,123307,167017,93418,111962,110379,204669,10635,289048,86119,108504,3075,174986,100886,3364124
2018,1,-2.52,64248,810317,859780,230689,157687,192264,99162,149169,120022,215573,11610,307958,89544,125735,3604,197928,113620,3748910
2018,2,-0.23,59603,777191,734548,217026,147553,167149,85736,159602,102075,186204,10682,279432,81484,113530,3237,183718,103041,3411811
2018,3,8.68,45518,522175,574296,173797,132026,153674,64500,130049,76744,157745,9122,241483,70542,89411,2231,142617,82881,2668811
