Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
12J1435,430951,435935,2,19-Feb-14,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,46,Car
12J1654,431884,435515,2,19-Feb-14,2040,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,25,Car
12J1654,431884,435515,2,19-Feb-14,2040,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,23,Car
12J1654,431884,435515,2,19-Feb-14,2040,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,23,Car
12J1654,431884,435515,2,19-Feb-14,2040,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,22,Car
12K0297,422145,428046,2,19-Feb-14,1725,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,28,Car
12K0444,421474,445803,2,20-Feb-14,1053,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,84,Car
12K0450,437041,438282,2,20-Feb-14,1055,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,55,Car
12K0781,428776,433265,2,20-Feb-14,1355,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,36,Taxi/Private hire car
12K0781,428776,433265,2,20-Feb-14,1355,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,21,Taxi/Private hire car
12K0913,430683,432507,2,20-Feb-14,1500,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,52,Car
12K1147,431889,434978,2,20-Feb-14,1645,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Car
12K1171,431384,430549,5,20-Feb-14,1655,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,48,Car
12K1171,431384,430549,5,20-Feb-14,1655,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,63,Car
12K1171,431384,430549,5,20-Feb-14,1655,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,60,Car
12K1171,431384,430549,5,20-Feb-14,1655,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,60,Car
12K1446,424933,434423,2,20-Feb-14,1827,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,55,Car
12K1446,424933,434423,2,20-Feb-14,1827,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,56,Car
12K1752,428893,432890,2,20-Feb-14,2220,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,51,Car
12K1752,428893,432890,2,20-Feb-14,2220,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,36,Car
12L0239,430945,433122,2,21-Feb-14,807,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,45,Motorcycle over 125cc and up to 500cc
12L0539,439477,432443,2,21-Feb-14,1530,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Pedal cycle
12L0561,432382,435070,2,21-Feb-14,1205,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,32,Car
12L0561,432382,435070,2,21-Feb-14,1205,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,31,Car
12L0945,432858,435382,2,21-Feb-14,1535,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,25,Car
12L0945,432858,435382,2,21-Feb-14,1535,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,23,Car
12L0965,430959,433432,1,21-Feb-14,1545,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,15,Car
12L1445,421620,445945,1,21-Feb-14,1950,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,1,Driver,Slight,Female,55,Car
12M0056,428974,435464,1,22-Feb-14,29,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,3,Pedestrian,Slight,Male,44,Car
12M0800,427362,431156,2,21-Feb-14,920,A,Wet / Damp,Darkness: street lights present and lit,Other,1,Driver,Slight,Male,40,Pedal cycle
12M0822,430373,433481,1,22-Feb-14,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,86,Bus or coach (17 or more passenger seats)
12M1517,426773,435723,2,22-Feb-14,1853,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,59,Car
12M1517,426773,435723,2,22-Feb-14,1853,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,47,Car
12M1932,427423,433046,2,22-Feb-14,2230,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,33,Goods vehicle 3.5 tonnes mgw and under
12N0893,435901,428601,1,23-Feb-14,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,80,Car
12N0997,431928,428128,1,23-Feb-14,1435,Motorway,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,4,Car
12N1293,430091,435427,1,23-Feb-14,1545,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,2,Passenger,Slight,Female,44,Bus or coach (17 or more passenger seats)
12N1293,430091,435427,1,23-Feb-14,1545,Unclassified,Wet / Damp,Daylight: street lights present,Unknown,2,Passenger,Slight,Female,53,Bus or coach (17 or more passenger seats)
12N1424,435232,427614,1,23-Feb-14,1840,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Serious,Male,19,Car
12N1424,435232,427614,1,23-Feb-14,1840,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,2,Passenger,Serious,Male,19,Car
12N1843,429804,433477,1,23-Feb-14,2303,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,25,Taxi/Private hire car
12O0014,426807,432112,4,24-Feb-14,14,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,35,Car
12O0439,430066,433771,1,24-Feb-14,1036,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,59,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
12O0947,422418,433289,1,24-Feb-14,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,11,Car
12O1071,441096,432393,2,24-Feb-14,1605,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,13,Pedal cycle
12O1082,435125,445093,3,24-Feb-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Goods vehicle 3.5 tonnes mgw and under
12O1082,435125,445093,3,24-Feb-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,41,Car
12O1082,435125,445093,3,24-Feb-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,7,Car
12O1082,435125,445093,3,24-Feb-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,47,Car
12O1082,435125,445093,3,24-Feb-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,18,Car
12O1093,429383,434947,2,24-Feb-14,1610,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,29,Pedal cycle
12O1421,430634,433453,2,24-Feb-14,1835,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,20,Taxi/Private hire car
12O1573,431251,445731,2,24-Feb-14,1950,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,27,Car
12P0232,429922,427806,2,25-Feb-14,809,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,75,Car
12P0232,429922,427806,2,25-Feb-14,809,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,24,Goods vehicle 3.5 tonnes mgw and under
12P0236,418975,442004,1,25-Feb-14,810,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,17,Car
12P0236,418975,442004,1,25-Feb-14,810,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,17,Car
12P0236,418975,442004,1,25-Feb-14,810,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,17,Car
12P0236,418975,442004,1,25-Feb-14,810,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,12,Car
12P0236,418975,442004,1,25-Feb-14,810,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,12,Car
12P0236,418975,442004,1,25-Feb-14,810,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,12,Car
12P0254,423328,443471,2,25-Feb-14,835,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,65,Car
12P0269,435573,425902,2,25-Feb-14,846,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,43,Car
12P0269,435573,425902,2,25-Feb-14,846,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,50,Goods vehicle 3.5 tonnes mgw and under
12P0951,430454,437507,2,25-Feb-14,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,45,Car
12P0951,430454,437507,2,25-Feb-14,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,26,Car
12P1279,429051,435525,2,25-Feb-14,1824,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Female,57,Car
12Q0398,431107,433740,2,26-Feb-14,953,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,43,Car
12Q0928,431517,434295,2,26-Feb-14,1505,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,23,Pedal cycle
12Q1027,430437,434391,2,26-Feb-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,28,Bus or coach (17 or more passenger seats)
12Q1027,430437,434391,2,26-Feb-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,45,Bus or coach (17 or more passenger seats)
12Q1027,430437,434391,2,26-Feb-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,8,Bus or coach (17 or more passenger seats)
12Q1027,430437,434391,2,26-Feb-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,6,Bus or coach (17 or more passenger seats)
12Q1511,431959,430490,1,26-Feb-14,1725,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,76,Bus or coach (17 or more passenger seats)
12R0178,423047,437663,2,27-Feb-14,549,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,60,Motorcycle over 500cc
12R0675,430717,434135,1,27-Feb-14,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,18,Motorcycle over 125cc and up to 500cc
12R0675,430717,434135,1,27-Feb-14,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,19,Motorcycle over 125cc and up to 500cc
12R1124,437735,433076,1,27-Feb-14,1654,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,29,Car
12R1413,429180,431912,2,27-Feb-14,1916,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,18,Car
12R1413,429180,431912,2,27-Feb-14,1916,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,19,Car
12S1056,428224,435786,2,28-Feb-14,1609,A,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,25,Car
12S1059,437227,433425,1,28-Feb-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,36,Car
12S1268,430460,431125,3,28-Feb-14,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Car
12S1268,430460,431125,3,28-Feb-14,1730,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,45,Car
12S1494,429429,433462,2,28-Feb-14,1915,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,68,Car
1311240,428431,435003,1,01-Mar-14,1627,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,21,Taxi/Private hire car
1311240,428431,435003,1,01-Mar-14,1627,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,56,Taxi/Private hire car
1311578,432515,434885,1,01-Mar-14,1915,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,19,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
1320442,430692,424510,2,01-Mar-14,1835,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,33,Car
1330277,429137,435242,2,03-Mar-14,855,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,43,Car
1331079,432278,436992,1,03-Mar-14,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,17,Car
1340155,427915,436171,1,04-Mar-14,642,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,19,Car
1340208,426996,437458,2,04-Mar-14,736,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,49,Motorcycle over 500cc
1340463,441635,444450,2,04-Mar-14,1111,A(M),Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,3,Car
1341172,430325,424149,1,04-Mar-14,1737,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,42,Goods vehicle 7.5 tonnes mgw and over
1341363,429321,430673,2,04-Mar-14,1859,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,29,Car
1341363,429321,430673,2,04-Mar-14,1859,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,23,Car
1341397,432120,432882,2,04-Mar-14,1915,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,44,Car
1350602,429689,427938,1,05-Mar-14,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,69,Taxi/Private hire car
1351484,421715,440990,2,05-Mar-14,1900,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,13,Car
1360255,427180,434761,2,06-Mar-14,847,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,48,Pedal cycle
1360958,429050,433526,2,05-Mar-14,1230,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,42,Pedal cycle
1361391,435951,428252,1,06-Mar-14,1935,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,49,Pedal cycle
1370105,422649,440068,1,07-Mar-14,235,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Male,23,Car
1370281,433177,434019,3,07-Mar-14,845,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,57,Car
1370281,433177,434019,3,07-Mar-14,845,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Male,7,Car
1370281,433177,434019,3,07-Mar-14,845,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,38,Motorcycle over 125cc and up to 500cc
1370345,420792,439584,2,07-Mar-14,1717,B,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,38,Pedal cycle
1370413,426124,437014,2,07-Mar-14,1010,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,43,Car
1370605,424253,433564,3,07-Mar-14,112,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,33,Car
1371061,422218,433361,1,07-Mar-14,815,B,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,13,Car
1371067,428097,434762,1,07-Mar-14,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,12,M/cycle 50cc and under
1371129,433909,434031,1,07-Mar-14,1620,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,14,Car
1371450,430393,433628,1,07-Mar-14,1756,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,85,Bus or coach (17 or more passenger seats)
1371538,423475,434036,2,07-Mar-14,1931,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,28,Car
1371538,423475,434036,2,07-Mar-14,1931,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,33,Car
1371569,432914,437027,2,07-Mar-14,1940,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,32,Car
1371569,432914,437027,2,07-Mar-14,1940,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,18,Car
1371569,432914,437027,2,07-Mar-14,1940,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,31,Car
1371872,429440,431732,2,07-Mar-14,2130,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,26,Pedal cycle
1380112,435539,438368,3,08-Mar-14,148,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,38,Car
1380112,435539,438368,3,08-Mar-14,148,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,25,Car
1380117,435678,440221,1,08-Mar-14,130,A,Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Serious,Male,21,Car
1380791,428054,435266,2,08-Mar-14,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,26,Car
1380791,428054,435266,2,08-Mar-14,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,17,Car
1380828,435745,436866,2,08-Mar-14,1300,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Car
1380848,429586,431001,2,08-Mar-14,1315,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,21,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
1380852,428897,425984,3,08-Mar-14,1320,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,63,Car
1381183,426767,438353,2,08-Mar-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,59,Car
1381183,426767,438353,2,08-Mar-14,1605,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Female,49,Car
1381501,431013,428461,1,08-Mar-14,1825,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Female,42,Goods vehicle 3.5 tonnes mgw and under
1381775,432494,436620,1,08-Mar-14,2045,C,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,14,Car
1390139,428065,435017,2,09-Mar-14,112,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,43,Car
1390527,427286,434701,2,09-Mar-14,850,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,27,Car
1390527,427286,434701,2,09-Mar-14,850,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Female,58,Car
1390527,427286,434701,2,09-Mar-14,850,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Serious,Male,28,Car
1390747,430442,437754,2,09-Mar-14,1140,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,25,Car
1391022,431502,439988,1,09-Mar-14,1408,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,80,Car
1391128,427265,429573,2,09-Mar-14,1502,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Motorcycle over 125cc and up to 500cc
1391182,444584,427870,1,09-Mar-14,1534,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,44,Motorcycle over 500cc
1391335,443071,440722,1,09-Mar-14,1625,A(M),Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,53,Car
1391658,426098,428269,2,09-Mar-14,1850,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,32,Car
13A0258,426948,431887,2,10-Mar-14,815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,33,Car
13A0340,430373,433501,1,10-Mar-14,904,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,35,Bus or coach (17 or more passenger seats)
13A0504,430417,433473,1,10-Mar-14,1033,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,66,Goods vehicle 3.5 tonnes mgw and under
13A0547,435887,428211,2,10-Mar-14,1100,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Motorcycle over 50cc and up to 125cc
13A0930,430412,437824,2,10-Mar-14,1420,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,55,Goods vehicle 3.5 tonnes mgw and under
13A1241,432651,436884,1,10-Mar-14,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,2,Bus or coach (17 or more passenger seats)
13A1269,424189,434783,1,10-Mar-14,1646,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,15,Car
13A1346,429071,438560,2,10-Mar-14,1705,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,27,Pedal cycle
13A1369,433727,434053,3,10-Mar-14,1723,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Pedal cycle
13A1484,421063,434217,2,10-Mar-14,1811,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,46,Car
13A1569,427179,434996,2,10-Mar-14,1840,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,38,Goods vehicle 3.5 tonnes mgw and under
13A1569,427179,434996,2,10-Mar-14,1840,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc
